month,operating_cf,investing_cf,financing_cf,net_change_in_cash
2024-09,600724,-135361,-182799,282564
2024-10,500197,-158805,-19043,322349
2024-11,673021,-89089,-18823,565109
2024-12,611992,-137238,-6663,468091
2025-01,713753,-94962,-20981,597810
2025-02,916280,-131785,-6880,777615
2025-03,687710,-180307,-307043,200360
2025-04,764899,-190965,-11332,562602
2025-05,844386,-177691,-14653,652042
2025-06,727254,-83625,-7608,636021
2025-07,906985,-127955,-17467,761563
2025-08,799956,-98982,-16329,684645
2025-09,777916,-195231,-240107,342578
2025-10,711569,-100317,-17464,593788
2025-11,742087,-116297,-10446,615344
2025-12,884103,-140836,-23363,719904
2026-01,873498,-110367,-9882,753249
2026-02,1016318,-223896,-27593,764829
2026-03,1014933,-197259,-485364,332310
2026-04,1015550,-133763,-20336,861451
2026-05,790378,-173412,-23386,593580
2026-06,941610,-110449,-17273,813888
2026-07,909172,-187915,-8893,712364
2026-08,1057261,-129546,-32311,895404
