month,revenue,cogs,opex,net_income,net_margin_pct
2024-09,2210265,1011558,636537,562170,0.2543
2024-10,2366689,1111349,780586,474754,0.2006
2024-11,2475418,1118307,750017,607094,0.2452
2024-12,2493185,1197003,784236,511946,0.2053
2025-01,2656660,1284141,751127,621392,0.2339
2025-02,2761317,1232757,777870,750690,0.2719
2025-03,2934147,1359548,945659,628940,0.2144
2025-04,2902732,1317426,898088,687218,0.2367
2025-05,2943408,1307332,869587,766489,0.2604
2025-06,2661829,1290447,787552,583830,0.2193
2025-07,2883404,1330684,820218,732502,0.254
2025-08,2710171,1212489,782246,715436,0.264
2025-09,2790922,1321971,784889,684062,0.2451
2025-10,2805224,1262662,903159,639403,0.2279
2025-11,2924044,1418371,886907,618766,0.2116
2025-12,3179949,1433704,910611,835634,0.2628
2026-01,3402677,1502805,1078520,821352,0.2414
2026-02,3454371,1554600,1001017,898754,0.2602
2026-03,3557131,1626631,1007010,923490,0.2596
2026-04,3675822,1703543,1139209,833070,0.2266
2026-05,3473041,1685490,1128002,659549,0.1899
2026-06,3332128,1582321,937485,812322,0.2438
2026-07,3451831,1577370,1105472,768989,0.2228
2026-08,3299153,1454411,955133,889609,0.2696
